range [1200000000000,1600000000000) sqrt=1264911 primes=97529
seg 106/95368  6s  ETA 85 min
seg 618/95368  35s  ETA 89 min
seg 1130/95368  61s  ETA 84 min
seg 1642/95368  86s  ETA 82 min
seg 2154/95368  112s  ETA 81 min
seg 2666/95368  137s  ETA 79 min
seg 3178/95368  162s  ETA 79 min
seg 3690/95368  188s  ETA 78 min
seg 4202/95368  215s  ETA 78 min
seg 4714/95368  240s  ETA 77 min
seg 5226/95368  266s  ETA 76 min
seg 5738/95368  292s  ETA 76 min
seg 6250/95368  317s  ETA 75 min
seg 6762/95368  343s  ETA 75 min
seg 7274/95368  368s  ETA 74 min
seg 7786/95368  394s  ETA 74 min
seg 8298/95368  421s  ETA 74 min
seg 8810/95368  446s  ETA 73 min
seg 9322/95368  476s  ETA 73 min
seg 9834/95368  512s  ETA 74 min
seg 10346/95368  548s  ETA 75 min
seg 10858/95368  586s  ETA 76 min
seg 11370/95368  619s  ETA 76 min
seg 11882/95368  645s  ETA 75 min
seg 12394/95368  677s  ETA 75 min
seg 12906/95368  705s  ETA 75 min
seg 13418/95368  731s  ETA 74 min
seg 13930/95368  760s  ETA 74 min
seg 14442/95368  786s  ETA 73 min
seg 14954/95368  812s  ETA 73 min
seg 15466/95368  865s  ETA 74 min
seg 15978/95368  905s  ETA 75 min
seg 16490/95368  934s  ETA 74 min
seg 17002/95368  960s  ETA 74 min
seg 17514/95368  985s  ETA 73 min
seg 18026/95368  1040s  ETA 74 min
seg 18538/95368  1124s  ETA 78 min
seg 19050/95368  1196s  ETA 80 min
seg 19562/95368  1242s  ETA 80 min
seg 20074/95368  1277s  ETA 80 min
seg 20586/95368  1321s  ETA 80 min
seg 21098/95368  1357s  ETA 80 min
seg 21610/95368  1388s  ETA 79 min
seg 22122/95368  1414s  ETA 78 min
seg 22634/95368  1442s  ETA 77 min
seg 23146/95368  1470s  ETA 76 min
seg 23658/95368  1501s  ETA 76 min
seg 24170/95368  1537s  ETA 75 min
seg 24682/95368  1586s  ETA 76 min
seg 25194/95368  1635s  ETA 76 min
seg 25706/95368  1671s  ETA 75 min
seg 26218/95368  1719s  ETA 76 min
seg 26730/95368  1766s  ETA 76 min
seg 27242/95368  1803s  ETA 75 min
seg 27754/95368  1845s  ETA 75 min
seg 28266/95368  1889s  ETA 75 min
seg 28778/95368  1938s  ETA 75 min
seg 29290/95368  1968s  ETA 74 min
seg 29802/95368  2000s  ETA 73 min
seg 30314/95368  2032s  ETA 73 min
seg 30826/95368  2058s  ETA 72 min
seg 31338/95368  2086s  ETA 71 min
seg 31850/95368  2113s  ETA 70 min
seg 32362/95368  2138s  ETA 69 min
seg 32874/95368  2172s  ETA 69 min
seg 33386/95368  2203s  ETA 68 min
seg 33898/95368  2230s  ETA 67 min
seg 34410/95368  2257s  ETA 67 min
seg 34922/95368  2283s  ETA 66 min
seg 35434/95368  2308s  ETA 65 min
seg 35946/95368  2334s  ETA 64 min
seg 36458/95368  2360s  ETA 64 min
seg 36970/95368  2386s  ETA 63 min
seg 37482/95368  2417s  ETA 62 min
seg 37994/95368  2445s  ETA 62 min
seg 38506/95368  2471s  ETA 61 min
seg 39018/95368  2497s  ETA 60 min
seg 39530/95368  2523s  ETA 59 min
seg 40042/95368  2548s  ETA 59 min
seg 40554/95368  2573s  ETA 58 min
seg 41066/95368  2599s  ETA 57 min
seg 41578/95368  2625s  ETA 57 min
seg 42090/95368  2651s  ETA 56 min
seg 42602/95368  2676s  ETA 55 min
seg 43114/95368  2702s  ETA 55 min
seg 43626/95368  2728s  ETA 54 min
seg 44138/95368  2754s  ETA 53 min
seg 44650/95368  2780s  ETA 53 min
seg 45162/95368  2806s  ETA 52 min
seg 45674/95368  2832s  ETA 51 min
seg 46186/95368  2860s  ETA 51 min
seg 46698/95368  2886s  ETA 50 min
seg 47210/95368  2914s  ETA 50 min
seg 47722/95368  2942s  ETA 49 min
seg 48234/95368  2979s  ETA 49 min
seg 48746/95368  3014s  ETA 48 min
seg 49258/95368  3051s  ETA 48 min
seg 49770/95368  3087s  ETA 47 min
seg 50282/95368  3123s  ETA 47 min
seg 50794/95368  3159s  ETA 46 min
seg 51306/95368  3194s  ETA 46 min
seg 51818/95368  3230s  ETA 45 min
seg 52330/95368  3266s  ETA 45 min
seg 52842/95368  3301s  ETA 44 min
seg 53354/95368  3337s  ETA 44 min
seg 53866/95368  3372s  ETA 43 min
seg 54378/95368  3408s  ETA 43 min
seg 54890/95368  3443s  ETA 42 min
seg 55402/95368  3474s  ETA 42 min
seg 55914/95368  3508s  ETA 41 min
